bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
48,300.2,0.0,8.5682378375,13.803667980000004,24.13252762,61.92588958549993,102.862079275,30.02,80.34275748818415,41.971633175535,28.013466269100785,3.975,2.0,1.7,29.020318436514355,27.950448913643992,50.0,28.127648091510157,30.83562838691506,25.753050901059833,50.0,12.25146484375,4.35927734375,4.07255859375,2.4082183837890625,1.7028427124023438,1.8939971923828125
49,300.0,0.0,8.5612762375,12.511444417500003,18.188129215000004,44.49971852099996,73.461272675,30.0,79.26133150007257,41.40635538196514,27.67902161907881,3.975,2.0,1.7,28.95146832983723,27.831649908465685,50.0,28.224448218887108,30.436736709454046,25.872847008188593,50.0,12.24873046875,4.3595703125,4.08369140625,2.4075698852539062,1.7029571533203125,1.89483642578125
50,300.025,0.0,8.5740855375,13.945507582500005,19.969426425000012,44.30429898999992,82.78341329999999,30.002499999999998,78.18288211758482,41.1539620855136,27.271372791032526,3.975,2.0,1.7,28.820646392591584,27.631063201216996,50.0,28.02131013802897,30.449269612310623,25.46423374057906,50.0,12.290234375,4.35712890625,4.08388671875,2.4158096313476562,1.7020034790039062,1.8951034545898438
51,299.925,0.0,8.596936875,13.807065590000022,21.929605373750004,51.51022315274994,85.47348325,29.9925,77.07844858534422,40.5462018087487,27.015954945907104,3.975,2.0,1.7,28.75220501316908,27.680943322263296,50.0,28.039437108564726,30.20962232579971,25.936341056106563,50.0,12.26708984375,4.36015625,4.06904296875,2.4114100138346357,1.70318603515625,1.8883132934570312
52,300.075,0.0,8.555092875,12.551091537500003,17.805169750000005,43.184982039499936,76.355937225,30.0075,76.04396019255212,40.03824067908478,26.712207638881516,3.975,2.0,1.7,28.84961547756862,27.68159448308602,50.0,28.209086892254494,30.17428138946798,25.914107286594145,50.0,12.281640625,4.34736328125,4.0734375,2.4138768513997393,1.6981887817382812,1.8918228149414062
53,300.0,0.0,8.546327462499999,12.288844677500016,18.46013954875001,41.50440108774994,73.82870835,30.0,74.93564611211559,39.86933324595271,26.529126709410075,3.975,2.0,1.7,28.919625276871432,27.872183494680193,50.0,28.120882986758424,30.551519225549235,25.923592474544712,50.0,12.2970703125,4.34130859375,4.07978515625,2.4169985453287763,1.6958236694335938,1.8949508666992188
54,299.975,0.0,8.558493912500001,11.455378687500003,19.617579870000004,41.33179084799993,82.9448832,29.997500000000002,73.976251535714,39.239027159720244,26.22713278693856,3.975,2.0,1.7,28.784848201377876,27.7418786975585,50.0,28.040080630224217,30.305620096906544,25.890739184157052,50.0,12.27724609375,4.344921875,4.080078125,2.413075764973958,1.697235107421875,1.8924713134765625
55,300.0,0.0,8.551388249999999,13.119265410000002,19.749634597500002,50.062452063749916,92.164383225,30.0,73.03872726913517,39.184359402561334,25.896057786983086,3.975,2.0,1.7,28.918780041593028,27.900804466249703,50.0,28.096638238832004,30.60256398223823,25.865930687140246,50.0,12.28125,4.35361328125,4.0904296875,2.4139340718587237,1.7006301879882812,1.89788818359375
56,300.0,0.0,8.5446846125,11.927102832500015,18.072695518750002,40.364405871749945,66.92722602500001,30.0,71.94472503857769,38.501337729255596,25.590453556618098,3.975,2.0,1.7,28.857868040860176,27.837226184960837,50.0,28.05868663631607,30.488545187349654,25.919028495388932,50.0,12.2939453125,4.342578125,4.0845703125,2.4163246154785156,1.696319580078125,1.8966293334960938
57,300.025,0.0,8.5662548625,13.222464000000008,20.35893602625001,55.30216967149995,89.96508235,30.002499999999998,70.84937562704434,38.184328652609366,25.358922050367077,3.975,2.0,1.7,28.910477966747386,27.779763429350606,50.0,28.175546694800108,30.41561559561738,25.853917361368378,50.0,12.311328125,4.34326171875,4.0958984375,2.419719696044922,1.6965866088867188,1.9028854370117188
