[INFO] Loading HPA1 runs (40 iterations)...
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_062148.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_072746.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_083447.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_094202.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_104915.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_115626.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_135658.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_150321.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_160947.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_171639.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_182230.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_192947.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_203548.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_214207.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_224909.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260315_235717.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_010343.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_021009.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_031655.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_042428.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_053059.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_063803.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_074512.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260316_085213.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_111748.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_122428.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_133155.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_144542.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_155219.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_165823.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_180527.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_191202.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_205816.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_220534.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260314_231431.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_002120.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_012826.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_023528.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_034226.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_051444.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_062148.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_072746.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_083447.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_094202.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_104915.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_115626.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_135658.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_150321.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_160947.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_171639.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_182230.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_192947.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_203548.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_214207.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_224909.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260315_235717.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_010343.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_021009.csv
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa2_20260316_031655.csv
